participantId,ic_conway
E458A546FAFC4A43895570E127E1EA05,2.0
6FE3E7209DA943E3A29F83EAF4CE4639,2.0
C4480EAF3D99424E9A7A4EBC77936730,3.0
BF1C8DFFFC894528B9774A63D691F1A8,3.0
162FE4DC007B40758F0A8C323E0D90A5,2.0
B8FF337BCE4E47709305D2A30A3C5F0E,1.5
B36EC95E8A1141CD87A0A0E402609391,2.0
D9189500C34443EE8B05E4F6EA2DA04F,3.0
389FB9674BAD4EC890991AA25B11011A,1.0
97307800D49C494BB554282F64743A52,2.0
7E960798CC674DBD9E28A300CE3419EB,3.0
2AD940C9920D4E468795F170DBB5E37C,2.0
384B94D391B0427586316A700F3C258A,2.25
C8DAE2F351914C53A13D1EDF1B7C12CD,1.75
2651BF73651149FEB0A40547AE586F55,2.5
34476DCE7931476583325AB012B7CDA2,2.5
6193BC2038F140ACBECF7B442E1AFA46,2.5
709E62199848439C88C689809C832E42,2.0
EEF1665D49B74C44A5DC6EA8F4BCD8E0,2.0
8A7803DC27D84078A2E22EAF8DA04494,2.5
F59C0BB90F2847CEB2FD7CED88FA7483,2.5
1135088B7E4248599036A92B9DFC3742,3.5
1A81AAEF46BF439EB6AC3777A6998D42,4.0
7895F829DA594283900D9E61EC1A4B8E,3.25
5C3EE13759464E0CA9594B9696FDC765,2.0
E9778B8B9D824722BFE3556FE2ACFC04,2.0
0FB2898E4FBD4F75A763EF5703E34167,2.0
90F65F16B2EA487AB6EBE2AD21AB2036,2.5
494A60FAFC2F4B6BACEB6D5C2153D8B4,2.5
C1D9EBE50DF14EAF93C8D4F45FBA199A,1.5
7836758F39C84B038E2BD81987FB827F,2.0
6B66C8A64DC34D9EB5830C3D572B7849,1.5
78BB286ED6CC4625BF555BC647AF25CE,2.0
4AF1EAFCF62B48A9BD8D5FEC43C952D9,2.0
F8075E9DEDD0471EA2E19E6A5CE01C1A,2.5
4AAF3C2A871D48D48EAF9C1EF9568532,2.0
A5FABDA0D17C4C6889441519A4F7A3A8,2.5
1B7D9FACB6E84FB896CD98CF16FDB570,2.5
AC343FDB21BB410895E48489901D388B,3.0
4D3A556FF44841E7A7154213519DBB31,2.5
4D83E916AC3D4E128DACAC9EFD3DF7FB,3.0
39EAC1F71CD946B9AFEF8BCBB20F44CF,2.0
1C3FEAA46E0444B8B0F96480EF8E0F8A,1.5
7A46D502FF3946B5A6AF85FAD7F5773C,1.0
BCD667A58A1A4E25ABF06560EB886583,2.5
BA8F3020F91340B58A68DCE3713D3864,2.5
A24ACAAB80104AE2A3AE474A2423D03E,3.0
FF4F16DF3E3248B986B79AC83F44764D,2.0
B5FB3C78DA18445992B991AECD386D27,2.0
8AB7C5A75D7E4ED4964B0CD3F8F24048,2.25
95B0EA0BAE8C48B49846E68DA092C38A,2.5
713B12E33399403AA322D5FC09E7DBD8,3.5
03DF43246C914ABBB382B76F6C04DDA9,2.0
EFEC9071D2114B63808B3F750402DF43,1.0
CB18A705D3D540B8A4A8D627BE511170,2.5
298C9F0889D7453D82FBD7F8AD65B92F,2.25
64F3764E4DD94B1C95E1E28CE1EC8095,1.5
6071D09787B54E07879D8BD9782B2341,3.0
776435FD31304C318DE896E0657127C2,2.5
6E5406600D764059BC155B26FCA4AF8D,2.25
FAEF480759C94412A5AD593699217679,2.75
D277AB5749C54D56AB93B191298A7AD3,1.5
55912A06C0AA4158A236C973A49E6C0E,2.0
2241CE49B9D64A0F8997374BFEAA4E57,4.0
C2C8A74EC7434A6F964C947422FF849A,1.0
081C478370F54DABBF6F76F47BC7FD67,1.0
5FFB8757456B4C0BA2615EBF53D6BB32,2.5
62F502ACB89E4CE288F05BFD3BE0DABA,2.5
D2C7C79A08024438851D591F9FF656F5,2.5
933B0BF5947B47318D61274487918645,2.25
17AC5D9ABD6F47E08C8F01E94EA31465,2.5
B26D1FF1A3254FA2A88215506205B0E9,2.75
7046F00D82DA45AC84BF5D8BEB48D816,2.0
9B9C14A8482F4C27B3DB6EBEF7149B29,2.75
E38731FE58D548E1B3F8787CC3FFDA07,3.0
4227771CBB974D8DBE299B31F11DF2FE,1.0
8C9D4AFD3320423EBA99BE2769FE2C62,2.5
51DA8E3B21E4400596089FC36D816552,2.25
7BF28405E4C7444E9857CDF691341437,2.5
573A511F66284279B70754406ED46949,2.5
277B18C384D34724B793D1CDB78A4246,2.0
96CFE18C2D71495597FAEDED800F21AD,2.0
CE387251FBBC45A58D6920EB0935069A,3.0
45FE27F9D1FD4D879B8583D5202C2F17,3.5
0348DB2D2D984340A8B121EDD1D59218,1.5
12076A45802B405BB00ABBFBB67729E0,2.0
6C4705349C04430BA532B3A0C3078C85,3.0
49F0A680BC4A4D818C3549480013BD4E,3.0
1127944010CA4D02827AC3B68B91714A,5.0
A5011544B35548DB816CA9FAD40698D5,2.5
B941108E0DEC4FB992D345F210C6EADD,1.5
2259F7A583134B458B07132AFF82ED3E,1.5
F51679B1397A49D786F59E8671B7E2D1,1.5
B3E1275A996043CAA3E259ACDE762CFE,1.5
5715B3A2F0AD44F08DF2B30923AEAFEB,1.0
7DDAC1BACC9B435E9BFD6544CBFCABEC,1.0
8F7BDD5083354A5FA89D37B5298507DC,3.0
29150DD46E7D4E988C875B35D42971E4,2.5
3413EED697A246E896AD0A399CDC3923,2.0
9635703152A34B49B91B9C4F91CB6E12,2.0
E9B4A5E434854C1ABC35D5CE17AB3A82,2.25
5CB76BED4B3A4DC586B042B85960FE14,2.0
176175CB71BE4F899BC90A1854018057,2.75
507075A75F704910B84D5123EADAD730,2.0
90651E15BDBD4A75AC9891E121CECAB4,2.0
F461C04A6C364534B88502CB1CB63827,2.0
BA778645102B4A70BDBD45A3DE66D667,2.0
27AE1B17B04048009D52EA7E956BE7C0,2.75
B1EFF1A8A38F4406B19C1E6E96E64A67,1.5
BFB9B3837F744751819DD9ACAD41EA6C,2.75
B5CF7243E14948DB896CB52FE9224E95,1.0
